name,link,ingredients_num,ingredients,steps,stars,votes,img
Turkey pasta bake,https://www.bbcgoodfood.com/recipes/turkey-pasta-bake,13,"['2 tbsp olive oil', '1 onion, finely chopped', '3 garlic cloves, crushed', '2 tsp tomato purée', '2 x 400g cans chopped tomatoes', '1 tbsp red wine vinegar', '1 tsp dried oregano', 'pinch of chilli flakes (optional)', '400g  leftover roast turkey or chicken, shredded', '400g dried pasta (we used penne)', '6 leftover pigs in blankets', '125g ball of mozzarella or 100g grated mozzarella', '25g parmesan or strong cheddar, grated']","['STEP 1Heat the oil in a pan over a low-medium heat and fry the onion for 8-10 mins until softened and starting to caramelise. Stir in the garlic and tomato purée, and cook for 1-2 mins more. Tip in the chopped tomatoes, vinegar, oregano, chilli and 2 tsp sugar, then season well and bring to a simmer. Swill out the tomato cans with a splash of water and stir this into the sauce, then partially cover the pan with a lid and cook for 15-20 mins until the tomatoes have reduced to a rich sauce. Crush any large pieces of tomato with a vegetable masher, if you like. Stir through the turkey or chicken and any other cooked meat you want to use up.', 'STEP 2Meanwhile, boil the kettle. Pour the hot water into a large saucepan, season with salt and bring back to the boil. Cook the pasta for a minute less than pack instructions or until al dente. Drain, reserving a mugful of the pasta cooking water.', 'STEP 3Tip the pasta into the sauce and stir to combine, adding some of the reserved water to loosen, if needed. Transfer to a baking dish, then tuck in the pigs in blankets or put on top. Scatter over the cheeses. Once cool, will keep covered and chilled for a day, or frozen for a month. Defrost in the fridge overnight before cooking.', 'STEP 4If cooking imnmediately after prep, heat the grill to high and cook for 8-10 mins until the cheese is bubbling and golden. If cooking from chilled or defrosted, heat the oven to 200C/180C fan/gas 6 and cook for 25-30 mins until piping hot and the cheese has melted.']",A star rating of 3.5 out of 5.,2 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2022/11/Turkey-Pasta-Bake-c5ac47a.jpg?quality=90&resize=556,505"
Chicken tinga-style enchiladas,https://www.bbcgoodfood.com/recipes/chicken-tinga-style-enchiladas,11,"['1 tbsp olive oil', '1 onion, finely sliced', '2 garlic cloves, crushed', 'small handful of coriander, leaves picked and stems finely chopped', '1-2 tsp chipotle paste', '2 x 400g cans chopped tomatoes', '2 chicken breasts', '200g frozen sweetcorn', '8 medium wholemeal tortillas', '65g cheddar, grated', 'guacamole, salsa and pickled jalapeños, to serve']","['STEP 1Heat the oven to 180C/160C fan/gas 4. Heat the oil in a large, non-stick, ovenproof frying pan over a medium-high heat and fry the onion, garlic and coriander stems with a pinch of salt for a few minutes until softened slightly. Add the chipotle paste, tomatoes and 200ml water. Lay in the chicken and turn up the heat. Cook for 15 mins until reduced and the chicken is cooked through. Remove the chicken and put on a chopping board. Set a third of the sauce aside in a bowl. Using two forks, shred the chicken, then return to the pan. Tip in the sweetcorn and season, adding more chipotle, if you like.', 'STEP 2Lay the tortillas out on a clean work surface and divide the mixture between them. Roll up and place back into the pan or a baking dish if your pan isn’t ovenproof. Spread over the reserved sauce, sprinkle with the cheese and bake for 15-20 mins until golden. Serve with the coriander leaves sprinkled over and guacamole, salsa and pickled jalapeños, if you like.']",A star rating of 5 out of 5.,2 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Chicken-Tinga-Enchiladas-c4eded1.jpg?quality=90&resize=556,505"
Chole with cumin rice & raita,https://www.bbcgoodfood.com/recipes/chole-with-cumin-rice-raita,15,"['1 tbsp vegetable oil', '1 red onion, finely chopped', '4 tsp cumin seeds', '1 tsp finely grated ginger', '4 garlic cloves, finely grated', '2 tsp curry powder', '2 x 400g cans chickpeas', '100g tomato purée', '30g fresh  coriander, chopped', '300g basmati rice', '¼ cucumber', '200g Greek-style yogurt', '½ tsp cumin seeds, toasted and crushed', 'small handful fresh mint, chopped', 'handful of pomegranate seeds, to serve (optional)']","['STEP 1Heat the oil in a large pan and fry the onions over a low heat for 10 mins until starting to brown. Add 3 tsp of the cumin, the ginger, garlic and curry powder. Stir for a minute to keep the spices from burning.', 'STEP 2Tip in the chickpeas and the liquid from the can, along with the tomato purée, 20g of the coriander and some seasoning. Simmer over a low heat for about 10 mins. Add a splash of water if it looks too dry.', 'STEP 3Meanwhile, rinse and drain the rice, add the remaining 1 tsp cumin seeds, 2 litres of boiling water and seasoning. Cook for about 10 mins, or until the rice is tender. Drain.', 'STEP 4For the raita, grate the cucumber and stir it into the yogurt with the cumin, mint and the remaining coriander. Season, scatter over the pomegranate seeds, then serve alongside the chole and rice.']",A star rating of 4.5 out of 5.,18 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2021/02/Chole-with-cumin-rice-and-raita-b00cba7.jpg?quality=90&resize=556,505"
Spicy sausage & bean one-pot,https://www.bbcgoodfood.com/recipes/spicy-sausage-bean-one-pot,6,"['1 tbsp vegetable oil', '1 onion, thickly sliced', '8 Cumberland sausages', '1 fat garlic clove, crushed', '2 x 400g cans kidney beans in chilli sauce', '2-3 sprigs curly parsley, chopped']","['STEP 1Heat the oil in a large frying pan. Cook the onion and sausages over a fairly high heat for 8-10 mins, turning the sausages often so they brown all over.', 'STEP 2Add the garlic to the pan with the kidney beans and their sauce. Half-fill one of the cans with water, swirl and then add this to the pan. Stir everything together and bring to the boil. Turn down to simmer and cook for 10 mins, or until the sausages are cooked through. Season and sprinkle with the parsley.']",A star rating of 4.2 out of 5.,46 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sausage-casserole-5644b25.jpg?quality=90&resize=440,400"
Red lentil & squash dhal,https://www.bbcgoodfood.com/recipes/red-lentil-squash-dhal,14,"['1 tbsp sunflower oil', '1 onion, finely chopped', '1 garlic clove, finely chopped', '1 tsp ground coriander', '1 tsp ground cumin', '1 tsp ground turmeric', '½ tsp cayenne pepper', '400g butternut squash, peeled and cut into 2cm (prepared weight)', '400g can chopped tomato', '1.2l chicken stock', '1 heaped tbsp mango chutney', '300g red lentil', 'small pack coriander, roughly chopped', 'naan bread, to serve']","['STEP 1Put the oil and the onion in a saucepan, and cook for 5 mins. Stir in the garlic and cook for a further 1 min, then stir in the spices and butternut squash. Combine everything together.', 'STEP 2Tip in the chopped tomatoes, stock and chutney, and season well. Bring to the boil, then gently simmer for about 10 mins. Add the lentils and simmer for another 20 mins until the lentils and squash are tender. Stir in the coriander and serve with warmed naan bread.']",A star rating of 4.8 out of 5.,178 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/dhal-76b0fb8.jpg?quality=90&resize=440,400"
Scandi meatballs,https://www.bbcgoodfood.com/recipes/scandi-meatballs,8,"['1 tbsp vegetable oil', '12 beef meatballs', '1 onion, finely chopped', '1 garlic clove, finely chopped', '294g can condensed mushroom soup', '½ x small pack dill, roughly chopped', '2 tsp mustard - French, wholegrain, or whatever you have in your cupboard', 'mashed potato and cooked cabbage, to serve']","['STEP 1Heat the oil in a large lidded pan. Cook the meatballs for 3-4 mins over a medium heat, turning often so that they brown all over. Remove from the pan with a slotted spoon and drain away any excess oil, reserving about 1 tbsp.', 'STEP 2Add the onion and garlic to the pan and cook for 4-5 mins, stirring to soften. Stir in the soup with half a can of water. Return the meatballs to the pan and bring to the boil. Turn down the heat, cover and simmer for a further 10-15 mins until the meatballs are cooked through. Stir in the dill, mustard and some seasoning. Serve with mashed potato and cabbage.']",A star rating of 4.3 out of 5.,12 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/scandi-meatballs-5b9e092.jpg?quality=90&resize=440,400"
Pilchard puttanesca,https://www.bbcgoodfood.com/recipes/pilchard-puttanesca,9,"['300g spaghetti', '1 tbsp olive oil', '1 onion, finely chopped', '2 garlic cloves, crushed', '1 red chilli, deseeded and finely chopped', '1 tbsp tomato purée', '425g can  pilchard in tomato sauce', '70g pack dried  black olive with herbs, roughly chopped', 'shaved parmesan, to serve']","['STEP 1Cook the pasta following pack instructions. Heat the oil in a non-stick frying pan and cook the onion, garlic and chilli for 3-4 mins to soften. Stir in the tomato purée and cook for 1 min, then add the pilchards with their sauce. Cook, breaking up the fish with a wooden spoon, then add the olives and continue to cook for a few more mins.', 'STEP 2Drain the pasta and add to the pan with 2-3 tbsp of the cooking water. Toss everything together well, then divide between plates and serve, scattered with Parmesan.']",A star rating of 4.5 out of 5.,11 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/puttanesca-7c523de.jpg?quality=90&resize=440,400"
Chorizo & rosemary pearl barley risotto,https://www.bbcgoodfood.com/recipes/chorizo-rosemary-pearl-barley-risotto,7,"['225 chorizo ring, sliced', '1 onion, finely chopped', '1 garlic clove, finely chopped', '300g pearl barley', '400g can chopped tomato with sliced olives', '1l hot chicken stock, made with 1 stock cube', '2 stalks rosemary, leaves chopped']","['STEP 1Heat a non-stick frying pan over a medium heat and fry the chorizo for 3-4 mins until it turns golden and releases its oil. Remove with a slotted spoon and set aside.', 'STEP 2Add the onion and garlic to the pan, and cook for 3-4 mins, until they begin to soften. Add the pearl barley and stir well to coat in the oil, before tipping in the chopped tomatoes and the chicken stock. Bring just to the boil, then turn down to a simmer and cook for 30 mins, stirring occasionally, until all the liquid has been absorbed and the pearl barley is tender. You may need to top up with a little extra water as you go.', 'STEP 3Season and stir in the rosemary and chorizo to serve.']",A star rating of 4.3 out of 5.,101 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-risotto-5b27a77.jpg?quality=90&resize=440,400"
Smoky sweet potato & bean cakes with citrus salad,https://www.bbcgoodfood.com/recipes/smoky-sweet-potato-bean-cakes-citrus-salad,11,"['1 sweet potato (about 200g), cut into cubes', '400g can red kidney beans, drained and rinsed', '3 spring onions, finely sliced', 'small bunch of  coriander, chopped', '1 tbsp chipotle paste', '2 tbsp sunflower oil', '2 tbsp mayonnaise', 'juice 1 lime', '1 Little Gem lettuce, torn', '½ cucumber, halved lengthways and sliced on the diagonal', '1 carrot, halved lengthways and sliced on the diagonal']","['STEP 1Microwave the sweet potato on High for 6 mins until tender. Lightly mash the beans, then add the potatoes, 2 spring onions, coriander, chipotle paste and seasoning. Mash a little more until the potato is combined. Shape into 4 cakes.', 'STEP 2Heat the oil in a non-stick frying pan, then fry the bean cakes for 4-5 mins each side.', 'STEP 3Meanwhile, mix the mayo, lime juice and seasoning in a bowl. Add remaining onion and salad ingredients and toss well. Serve alongside the bean cakes.']",A star rating of 4.7 out of 5.,46 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/bean-cakes-fe4f8fb.jpg?quality=90&resize=440,400"
"Courgette, sausage & rigatoni bakes",https://www.bbcgoodfood.com/recipes/courgette-sausage-rigatoni-bakes,8,"['1 tbsp olive oil', '4 good-quality  pork sausages', '2 courgettes, sliced on the diagonal then chopped into batons', '3 garlic cloves, finely sliced', 'pinch of  chilli flakes', '400g can  chopped tomato', '200g rigatoni', '½ x 150g ball mozzarella, patted dry and torn into chunks']","['STEP 1Heat the oil in a large frying pan. Squeeze the sausagemeat out of the skins, breaking it into little chunks, and pop in the pan. Fry for 8 mins until golden and cooked through. Tip in the courgettes, garlic and a pinch of chilli flakes. Fry for a few mins until just tender. Pour over the chopped tomatoes, season and bubble down for 5 mins or so, adding a splash of water if it’s looking too thick.', 'STEP 2Meanwhile, cook the pasta following pack instructions. Drain and stir through the sauce and spoon everything into 2 small flameproof dishes.', 'STEP 3Heat the grill to high. Dot the cheese on top of the sausage dishes, then place under the grill until the cheese is golden and bubbling (about 5-10 mins), and serve.']",A star rating of 4.5 out of 5.,20 ratings,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/rigatoni-cdc051f.jpg?quality=90&resize=440,400"
